"Integration","Type","ImplementationPath","ImplementationPresent","RealRuntimeRequired","ExistingEvidence","CurrentStatus","StabilityStatus","PreferredStabilityRun","Harness","HarnessExists","MissingProof","PlannedCommand"
"embedded-spring","native","flowplane-java-sdk/flowplane-spring-boot-starter; flowplane-java-sdk/flowplane-kafka-streaming-demo; scripts/demo/live-local-verification/adapters/embedded-spring.ps1","True","JVM / Spring Boot","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED","20260721T054132Z","scripts/demo/live-local-verification/adapters/embedded-spring.ps1","True","","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration embedded-spring"
"http-single","protocol","flowplane-java-sdk/flowplane-sidecar-http; flowplane-java-sdk/flowplane-sidecar-app; scripts/demo/live-local-verification/adapters/runtime-surface.ps1; scripts/demo/live-local-verification/adapters/kafka-runtime-surface-bridge.mjs","True","Flowplane sidecar HTTP","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED","20260721T054134Z","scripts/demo/live-local-verification/adapters/http-single.ps1","True","","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration http-single"
"http-batch","protocol","flowplane-java-sdk/flowplane-sidecar-http; flowplane-java-sdk/flowplane-sidecar-app; scripts/demo/live-local-verification/adapters/runtime-surface.ps1; scripts/demo/live-local-verification/adapters/kafka-runtime-surface-bridge.mjs","True","Flowplane sidecar HTTP","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED","20260721T054136Z","scripts/demo/live-local-verification/adapters/http-batch.ps1","True","","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration http-batch"
"grpc-batch","protocol","flowplane-java-sdk/flowplane-sidecar-grpc; flowplane-java-sdk/flowplane-sidecar-app; scripts/demo/live-local-verification/adapters/runtime-surface.ps1; scripts/demo/live-local-verification/adapters/kafka-runtime-surface-bridge.mjs","True","Flowplane sidecar gRPC","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED","20260721T054138Z","scripts/demo/live-local-verification/adapters/grpc-batch.ps1","True","","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration grpc-batch"
"grpc-streaming","protocol","flowplane-java-sdk/flowplane-sidecar-grpc; flowplane-java-sdk/flowplane-sidecar-app; scripts/demo/live-local-verification/adapters/runtime-surface.ps1; scripts/demo/live-local-verification/adapters/kafka-runtime-surface-bridge.mjs","True","Flowplane sidecar gRPC","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED","20260721T054141Z","scripts/demo/live-local-verification/adapters/grpc-streaming.ps1","True","","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration grpc-streaming"
"kafka-streams","native","flowplane-java-sdk/flowplane-kafka-streams-runtime","True","Kafka Streams","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/qa/single-source-byte-parity.ps1","True","10,000-record, 1%-invalid, five-minute stability proof","powershell -File scripts/qa/single-source-byte-parity.ps1"
"kafka-connect","native","flowplane-java-sdk/flowplane-kafka-connect-smt","True","Kafka Connect","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/qa/single-source-byte-parity.ps1","True","10,000-record, 1%-invalid, five-minute stability proof","powershell -File scripts/qa/single-source-byte-parity.ps1"
"flink","native","flowplane-java-sdk/flowplane-flink-runtime","True","Apache Flink","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/qa/flink-streaming-soak.ps1","True","10,000-record, 1%-invalid, five-minute stability proof","powershell -File scripts/qa/flink-streaming-soak.ps1"
"spring-cloud-stream","tool","docker/http-integrations-local/spring-cloud-stream-kafka-http","True","Spring Cloud Stream","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/dev/test-spring-cloud-stream-kafka-http-local.ps1","True","","powershell -File scripts/dev/test-spring-cloud-stream-kafka-http-local.ps1 -ValidRecordCount 100"
"debezium","tool","adapters/debezium.ps1; adapters/debezium-raw-only-verifier.mjs; adapters/kafka-http-publisher-bridge.mjs; assets/debezium-mysql-connector-evidence.json","False","Debezium","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"adapters/debezium.ps1","False","no complete executable implementation/configuration found; no runnable harness found",".\Invoke-LiveLocalVerification.ps1 -Execute -Integration debezium"
"spark-structured-streaming","tool","flowplane-java-sdk/flowplane-spark-http-integration; docker/http-integrations-local/spark_kafka_http_streaming.py","True","Apache Spark 3.5.3","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/dev/test-spark-kafka-http-streaming-local.ps1","True","","powershell -File scripts/dev/test-spark-kafka-http-streaming-local.ps1 -ValidRecordCount 100"
"nifi","tool","docker/http-integrations-local/docker-compose.yml","True","Apache NiFi 1.27.0","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/dev/test-nifi-kafka-http-streaming-local.ps1","True","","powershell -File scripts/dev/test-nifi-kafka-http-streaming-local.ps1 -ValidRecordCount 100"
"redpanda-connect","tool","docker/http-integrations-local/redpanda_connect_kafka_http.yaml","True","Redpanda Connect","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/dev/test-redpanda-connect-kafka-http-streaming-local.ps1","True","","powershell -File scripts/dev/test-redpanda-connect-kafka-http-streaming-local.ps1 -ValidRecordCount 100"
"bento","tool","flowplane-java-sdk/flowplane-bento-runtime; docker/warpstream-bento/flowplane-bento-warpstream-local.yml","True","Bento / Flowplane assigned adapter","LIVE_LOCAL_VERIFIED (small fixture)","LIVE_LOCAL_VERIFIED (small fixture)",,,"scripts/qa/single-source-byte-parity.ps1","True","strict 100-valid/10-invalid bundle with all 26 gate assertions","powershell -File scripts/qa/single-source-byte-parity.ps1"
"camel","tool","docker/http-integrations-local/camel-kafka-http-streaming","True","Apache Camel","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/dev/test-camel-kafka-http-streaming-local.ps1","True","","powershell -File scripts/dev/test-camel-kafka-http-streaming-local.ps1 -ValidRecordCount 100"
"bento-warpstream","tool","docker/network-isolation/warpstream-bento.yml","True","WarpStream Bento","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/demo/live-local-verification/adapters/bento-warpstream.ps1","True","","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration bento-warpstream"
"beam-directrunner","tool","docker/http-integrations-local/beam-kafka-http-streaming","True","Apache Beam DirectRunner","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/dev/test-beam-kafka-http-streaming-local.ps1","True","","powershell -File scripts/dev/test-beam-kafka-http-streaming-local.ps1 -ValidRecordCount 100"
"logstash","tool","docker/http-integrations-local/logstash_kafka_http.conf","True","Logstash 8.15.3","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/dev/test-logstash-kafka-http-streaming-local.ps1","True","","powershell -File scripts/dev/test-logstash-kafka-http-streaming-local.ps1 -ValidRecordCount 100"
"vector","tool","scripts/demo/live-local-verification/assets/vector-kafka-http-evidence.toml; scripts/demo/live-local-verification/adapters/kafka-http-publisher-bridge.mjs","True","Vector","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/demo/live-local-verification/adapters/vector.ps1","True","","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration vector"
"pulsar","tool","adapters/pulsar.ps1; adapters/pulsar-flowplane-pipeline.mjs; adapters/pulsar-raw-only-verifier.mjs; ../../../pulsar-local-ui/compose.yaml","False","Apache Pulsar","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"adapters/pulsar.ps1","False","no complete executable implementation/configuration found; no runnable harness found",".\Invoke-LiveLocalVerification.ps1 -Execute -Integration pulsar"
"activemq-classic","tool","adapters/activemq-classic.ps1; adapters/activemq-classic-flowplane-pipeline.mjs; adapters/activemq-classic-raw-only-verifier.mjs","False","ActiveMQ Classic 5.15.9 with Flowplane HTTP bridge","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"adapters/activemq-classic.ps1","False","no complete executable implementation/configuration found; no runnable harness found","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration activemq-classic"
"activemq-artemis","tool","adapters/activemq-artemis.ps1; adapters/artemis-stomp-flowplane-pipeline.mjs; adapters/artemis-stomp-raw-only-verifier.mjs","False","ActiveMQ Artemis STOMP with Flowplane HTTP bridge","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"adapters/activemq-artemis.ps1","False","no complete executable implementation/configuration found; no runnable harness found","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration activemq-artemis"
"nats-jetstream","tool","adapters/nats-jetstream.ps1; adapters/nats-jetstream-flowplane-pipeline.mjs; adapters/nats-jetstream-raw-only-verifier.mjs","False","NATS JetStream 2.11 with Flowplane HTTP bridge","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"adapters/nats-jetstream.ps1","False","no complete executable implementation/configuration found; no runnable harness found","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration nats-jetstream"
"redis-streams","tool","adapters/redis-streams.ps1; adapters/redis-streams-flowplane-pipeline.mjs; adapters/redis-streams-raw-only-verifier.mjs","False","Redis Streams with Flowplane HTTP bridge","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"adapters/redis-streams.ps1","False","no complete executable implementation/configuration found; no runnable harness found","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration redis-streams"
"rabbitmq-streams","tool","adapters/rabbitmq-streams.ps1; adapters/rabbitmq-streams-flowplane-pipeline.mjs; adapters/rabbitmq-streams-raw-only-verifier.mjs","False","RabbitMQ Streams with Flowplane HTTP bridge","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"adapters/rabbitmq-streams.ps1","False","no complete executable implementation/configuration found; no runnable harness found","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration rabbitmq-streams"
"emqx-mqtt","tool","adapters/emqx-mqtt.ps1; adapters/emqx-mqtt-flowplane-pipeline.mjs; adapters/emqx-mqtt-raw-only-verifier.mjs","False","EMQX MQTT with Flowplane HTTP bridge","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"adapters/emqx-mqtt.ps1","False","no complete executable implementation/configuration found; no runnable harness found","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration emqx-mqtt"
"rocketmq","tool","adapters/rocketmq.ps1; adapters/rocketmq-flowplane-pipeline.mjs; adapters/rocketmq-raw-only-verifier.mjs; config/rocketmq-broker.conf","False","Apache RocketMQ 5.3.2 Broker+Proxy with Flowplane HTTP bridge","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"adapters/rocketmq.ps1","False","no complete executable implementation/configuration found; no runnable harness found","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration rocketmq"
"opentelemetry","tool","scripts/demo/live-local-verification/assets/opentelemetry-kafka-evidence.yaml; scripts/demo/live-local-verification/adapters/kafka-http-publisher-bridge.mjs","True","OpenTelemetry Collector","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/demo/live-local-verification/adapters/opentelemetry.ps1","True","","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration opentelemetry"
"serverless-aws","tool","flowplane-java-sdk/flowplane-serverless-aws-lambda; docker/serverless-local/aws-lambda-api.Dockerfile; scripts/demo/live-local-verification/adapters/serverless-aws.ps1","True","AWS Lambda local wrapper","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/demo/live-local-verification/adapters/serverless-aws.ps1","True","","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration serverless-aws"
"serverless-azure","tool","flowplane-java-sdk/flowplane-serverless-azure-functions; docker/serverless-local/azure-functions-http.Dockerfile; scripts/dev/run-azure-serverless-docker.ps1; scripts/demo/live-local-verification/adapters/serverless-azure.ps1","True","Azure Functions local wrapper","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/demo/live-local-verification/adapters/serverless-azure.ps1","True","","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration serverless-azure"
"serverless-gcp","tool","flowplane-java-sdk/flowplane-serverless-gcp-functions; docker/serverless-local/gcp-functions-http.Dockerfile; scripts/dev/run-gcp-serverless-docker.ps1; scripts/demo/live-local-verification/adapters/serverless-gcp.ps1","True","Google Cloud Functions local wrapper","LIVE_LOCAL_VERIFIED","LIVE_LOCAL_VERIFIED",,,"scripts/demo/live-local-verification/adapters/serverless-gcp.ps1","True","","powershell -File scripts/demo/11-run-live-local-verification.ps1 -Execute -Integration serverless-gcp"
